The Lord of the rings,Cinema Paradiso,Se7en,Avengers: Infinity War,The Shining,High and Low ,Terminator 2: Judgment Day,Toy Story,City of God,Witness for the Prosecution,12 Angry Men,Whiplash,Black Panther,Hamilton,The Dark Knight,Once Upon a Time in the West,The Great Dictator,Back to the Future,Aliens,Comedy nights with Kapil
The Shawshank Redemption,Whiplash,The Silence of the Lambs,,,,,,,,,,,,,,,,,
whole wheat Star Wars: Episode V - The Empire Strikes Back,The Silence of the Lambs,Harry Potter 2,,,,,,,,,,,,,,,,,
Modern Times,The Departed,The Silence of the Lambs,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,
The Lion King,The Intouchables,,,,,,,,,,,,,,,,,,
The Dark Knight,Whiplash,,,,,,,,,,,,,,,,,,
Captain America,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,inception,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Pulp Fiction,coco,The Departed,Bicycle Thieves,,,,,,,,,,,,
Interstellar,inception,The Wolf of Wall Street,Schindler's List,Pulp Fiction,Harry Potter 2,,,,,,,,,,,,,,
The Dark Knight,whole wheat Star Wars: Episode V - The Empire Strikes Back,Harry Potter 2,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,The Lord of the rings,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Schindler's List,The Intouchables,Parasite,,,,,,,,,,,,,
Star Wars: Episode V - The Empire Strikes Back,Back to the Future,,,,,,,,,,,,,,,,,,
Billa,The Silence of the Lambs,whole wheat Star Wars: Episode V - The Empire Strikes Back,,,,,,,,,,,,,,,,,
The Dark Knight,The Silence of the Lambs,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,,,,,,,,,,,,,,,,,,,
Pulp Fiction,The Lord of the Rings: The Return of the King,City of God,,,,,,,,,,,,,,,,,
Cinema Paradiso,Pulp Fiction,"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,
Pulp Fiction,Back to the Future,Toy Story,12 Angry Men,,,,,,,,,,,,,,,,
The Shawshank Redemption,,,,,,,,,,,,,,,,,,,
Casablanca,Back to the Future,,,,,,,,,,,,,,,,,,
Pulp Fiction,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,Interstellar,The Dark Knight,Your Name,The Pianist,Back to the Future,Indiana Jones and the Raiders of the Lost Ark,Apocalypse Now,Capernaum,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,Modern Times,Pulp Fiction,Casablanca,The Silence of the Lambs,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,
The Pianist,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,
Seven Samurai,Interstellar,The Lord of the rings,Billa,Prision Break,The Silence of the Lambs,12 Angry Men,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,
Star Wars: Episode IV - A New Hope,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,,
Gladiator,The Dark Knight,The Silence of the Lambs,nonfat The Intouchables,,,,,,,,,,,,,,,,
Billa,Pulp Fiction,The Silence of the Lambs,,,,,,,,,,,,,,,,,
The Lion King,The Dark Knight,Schindler's List,Comedy nights with Kapil,Grave of the Fireflies ,,,,,,,,,,,,,,,
The Shawshank Redemption,The Lord of the Rings: The Two Towers,Billa,Prision Break,Back to the Future,,,,,,,,,,,,,,,
Pulp Fiction,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,inception,The Lord of the Rings: The Fellowship of the Ring,Taare Zameen Par,,,,,,,,,,,,,,,,
The Lord of the rings,Billa,The Lion King,Casablanca,Whiplash,The Pianist,,,,,,,,,,,,,,
The Dark Knight,The Intouchables,Aliens,whole wheat Star Wars: Episode V - The Empire Strikes Back,Braveheart,,,,,,,,,,,,,,,
inception,The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,
Princess Mononoke,,,,,,,,,,,,,,,,,,,
Inglourious Basterds,,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,It's a Wonderful Life,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,
Avengers: Infinity War,nonfat The Intouchables,The Pianist,,,,,,,,,,,,,,,,,
The Shawshank Redemption,The Lord of the rings,The Lord of the Rings: The Fellowship of the Ring,The Intouchables,The Usual Suspects,Casablanca,Oldboy,The Lord of the Rings: The Return of the King,,,,,,,,,,,,
Joker,Pulp Fiction,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,Pulp Fiction,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,The Dark Knight,,,,,,,,,,,,,,,,,,
Billa,The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,
The Godfather: Part II,Léon: The Professional,The Lord of the Rings: The Two Towers,The Lord of the rings,The Dark Knight,Prision Break,The Pianist,Casablanca,2001: A Space Odyssey,,,,,,,,,,,
The Pianist,The Departed,The Silence of the Lambs,,,,,,,,,,,,,,,,,
The Shawshank Redemption,The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,
The Lord of the rings,Billa,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Intouchables,Alien,,,,,,,,,,,,,,
The Lion King,inception,Fight Club,Once Upon a Time in the West,Pulp Fiction,Parasite,Back to the Future,12 Angry Men,The Green Mile,,,,,,,,,,,
Gladiator,The Intouchables,Game of thrones,Prision Break,The Silence of the Lambs,Back to the Future,crimes of grindelwald,,,,,,,,,,,,,
The Godfather: Part II,The Pianist,Pulp Fiction,,,,,,,,,,,,,,,,,
Whiplash,,,,,,,,,,,,,,,,,,,
Harry Potter 2,,,,,,,,,,,,,,,,,,,
The Godfather: Part II,inception,Gladiator,Your Name,Good Will Hunting,Once Upon a Time in the West,Memento,,,,,,,,,,,,,
The Dark Knight,Joker,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,Witness for the Prosecution,Braveheart,,,,,,,,,,,,,,,,,
Interstellar,The Wolf of Wall Street,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Se7en,The Intouchables,Comedy nights with Kapil,Good Will Hunting,The Pianist,whole wheat Star Wars: Episode V - The Empire Strikes Back,High and Low ,Once Upon a Time in America,The Lord of the Rings: The Return of the King,Back to the Future,,,,,,
The Silence of the Lambs,The Pianist,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,,,,,,,,,,,,,,,,,,,
Hara-Kiri,,,,,,,,,,,,,,,,,,,
Billa,Once Upon a Time in America,The Silence of the Lambs,The Lord of the Rings: The Return of the King,Harry Potter 2,Parasite,Witness for the Prosecution,,,,,,,,,,,,,
The Dark Knight,Once Upon a Time in the West,,,,,,,,,,,,,,,,,,
The Intouchables,Casablanca,"The Good, the Bad and the Ugly",crimes of grindelwald,,,,,,,,,,,,,,,,
The Wolf of Wall Street,Parasite,Whiplash,,,,,,,,,,,,,,,,,
The Dark Knight,Snatch,Harry Potter 2,Braveheart,Django Unchained,,,,,,,,,,,,,,,
Léon: The Professional,Schindler's List,Black Panther,,,,,,,,,,,,,,,,,
The Godfather: Part II,The Lion King,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Silence of the Lambs,The Intouchables,Back to the Future,Whiplash,,,,,,,,,,,,
The Lord of the rings,The Dark Knight,The Intouchables,hand The Lives of Others,Witness for the Prosecution,,,,,,,,,,,,,,,
"The Good, the Bad and the Ugly",psycho,,,,,,,,,,,,,,,,,,
The Silence of the Lambs,The Lord of the Rings: The Return of the King,"The Good, the Bad and the Ugly",American History X,12 Angry Men,,,,,,,,,,,,,,,
The Intouchables,Capernaum,,,,,,,,,,,,,,,,,,
Interstellar,The Intouchables,Joker,The Departed,Apocalypse Now,,,,,,,,,,,,,,,
Comedy nights with Kapil,psycho,,,,,,,,,,,,,,,,,,
The Lion King,inception,The Dark Knight,Comedy nights with Kapil,Captain America,Black Panther,Game of thrones,Back to the Future,Braveheart,,,,,,,,,,,
The Godfather: Part II,The Dark Knight,Pulp Fiction,Casablanca,The Lord of the Rings: The Return of the King,Star Wars: Episode IV - A New Hope,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,,
The Lion King,The Intouchables,The Silence of the Lambs,"The Good, the Bad and the Ugly",Princess Mononoke,Braveheart,,,,,,,,,,,,,,
The Lord of the rings,Billa,Comedy nights with Kapil,Pulp Fiction,psycho,12 Angry Men,,,,,,,,,,,,,,
The Dark Knight,,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,Comedy nights with Kapil,Black Panther,extra dark The Silence of the Lambs,,,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,,
inception,Harry Potter 1,Whiplash,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,Prision Break,Black Panther,Full Metal Jacket,Whiplash,The Silence of the Lambs,The Lord of the Rings: The Return of the King,Back to the Future,"The Good, the Bad and the Ugly",crimes of grindelwald,Django Unchained,,,,,,,,,
The Silence of the Lambs,The Prestige,Django Unchained,,,,,,,,,,,,,,,,,
The Shawshank Redemption,The Lion King,The Usual Suspects,Pulp Fiction,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,
The Silence of the Lambs,,,,,,,,,,,,,,,,,,,
The Dark Knight,whole wheat Star Wars: Episode V - The Empire Strikes Back,The Pianist,Paths of Glory,12 Angry Men,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Comedy nights with Kapil,Alien,Black Panther,Once Upon a Time in America,The Silence of the Lambs,,,,,,,,,,,,,
The Dark Knight,The Intouchables,Casablanca,The Lord of the Rings: The Return of the King,Parasite,Whiplash,,,,,,,,,,,,,,
Black Panther,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,,,,,,,,,,,,,,,,,,,
Comedy nights with Kapil,Cinema Paradiso,The Shining,Witness for the Prosecution,Braveheart,,,,,,,,,,,,,,,
The Intouchables,nonfat The Intouchables,Hara-Kiri,,,,,,,,,,,,,,,,,
Fight Club,Snatch,Back to the Future,Harry Potter 2,crimes of grindelwald,Whiplash,,,,,,,,,,,,,,
The Intouchables,Comedy nights with Kapil,The Usual Suspects,Eternal Sunshine of the Spotless Mind,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Whiplash,,,,,,,,,,,,,,,,,
Casablanca,,,,,,,,,,,,,,,,,,,
The Intouchables,Pulp Fiction,Parasite,,,,,,,,,,,,,,,,,
The Lord of the rings,The Dark Knight,The Silence of the Lambs,The Intouchables,coco,Full Metal Jacket,2001: A Space Odyssey,,,,,,,,,,,,,
Your Name,Whiplash,,,,,,,,,,,,,,,,,,
inception,Casablanca,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,The Prestige,,,,,,,,,,,,,,,,,,
The Lord of the rings,Pulp Fiction,,,,,,,,,,,,,,,,,,
The Godfather: Part II,City Lights,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,,,,,,,,,,,,,,,,,,,
Seven Samurai,The Lion King,The Lord of the Rings: The Fellowship of the Ring,Prision Break,Casablanca,Harry Potter 2,,,,,,,,,,,,,,
inception,The Intouchables,One Flew Over the Cuckoo's Nest,Game of thrones,,,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,Interstellar,The Lord of the Rings: The Two Towers,The Intouchables,Star Wars: Episode VI - Return of the Jedi,Prision Break,The Pianist,Pulp Fiction,Casablanca,The Green Mile Whiplash,,,,,,,,,,
The Godfather: Part II,The Lion King,Once Upon a Time in the West,Back to the Future,,,,,,,,,,,,,,,,
The Silence of the Lambs,,,,,,,,,,,,,,,,,,,
Léon: The Professional,The Lord of the rings,The Dark Knight,Joker,,,,,,,,,,,,,,,,
Prision Break,"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,
The Silence of the Lambs,The Lord of the rings,Billa,inception,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,,,,,,,,,,,,,,
Modern Times,The Pianist,Prision Break,Back to the Future,12 Angry Men,,,,,,,,,,,,,,,
Interstellar,The Intouchables,Pulp Fiction,Once Upon a Time in America,Braveheart,2001: A Space Odyssey,12 Angry Men,,,,,,,,,,,,,
Seven Samurai,The Pianist,whole wheat Star Wars: Episode V - The Empire Strikes Back,The Silence of the Lambs,3 Idiots,The Hunt,Braveheart,12 Angry Men,,,,,,,,,,,,
Pulp Fiction,coco,3 Idiots,2001: A Space Odyssey,,,,,,,,,,,,,,,,
The Lord of the rings,The Intouchables,Casablanca,Grave of the Fireflies ,The Departed,Once Upon a Time in America,City of God,Rear Window,,,,,,,,,,,,
The Lord of the rings,Billa,The Dark Knight,The Intouchables,Pulp Fiction,Casablanca,The Dark Knight Rises,Harry Potter 2,Braveheart,,,,,,,,,,,
Once Upon a Time in America,Whiplash,,,,,,,,,,,,,,,,,,
The Usual Suspects,Black Panther,psycho,,,,,,,,,,,,,,,,,
The Godfather: Part II,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Intouchables,Prision Break,Pulp Fiction,Casablanca,Whiplash,,,,,,,,,,,,
Harry Potter 2,,,,,,,,,,,,,,,,,,,
The Intouchables,Joker,Pulp Fiction,The Lord of the Rings: The Return of the King,"The Good, the Bad and the Ugly",Whiplash,,,,,,,,,,,,,,
The Godfather: Part II,The Shawshank Redemption,The Silence of the Lambs,The Lord of the Rings: The Fellowship of the Ring,Avengers: Infinity War,Grave of the Fireflies ,Prision Break,Amadeus ,Whiplash,Princess Mononoke,Requiem for a Dream,Witness for the Prosecution,Braveheart,,,,,,,
Pulp Fiction,The Lord of the Rings: The Return of the King,12 Angry Men,Black Panther,,,,,,,,,,,,,,,,
The Dark Knight,One Flew Over the Cuckoo's Nest,The Silence of the Lambs,The Lord of the Rings: The Return of the King,Dangal,12 Angry Men,,,,,,,,,,,,,,
Léon: The Professional,Interstellar,Gladiator,Parasite,2001: A Space Odyssey,,,,,,,,,,,,,,,
Schindler's List,Braveheart,,,,,,,,,,,,,,,,,,
One Flew Over the Cuckoo's Nest,Black Panther,Casablanca,12 Angry Men,Whiplash,,,,,,,,,,,,,,,
The Godfather: Part II,The Dark Knight,Modern Times,The Usual Suspects,Good Will Hunting,Pulp Fiction,whole wheat Star Wars: Episode V - The Empire Strikes Back,The Departed,12 Angry Men,,,,,,,,,,,
The Shawshank Redemption,It's a Wonderful Life,Interstellar,inception,The Silence of the Lambs,The Intouchables,Joker,Pulp Fiction,whole wheat Star Wars: Episode V - The Empire Strikes Back,Casablanca,The Prestige,Spider-Man: Into the Spider-Verse,,,,,,,,
The Shawshank Redemption,The Lion King,The Dark Knight,Pulp Fiction,The Lord of the Rings: The Return of the King,Princess Mononoke,Whiplash,,,,,,,,,,,,,
Léon: The Professional,The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,Billa,The Lion King,Pulp Fiction,Casablanca,The Departed,,,,,,,,,,,,,,
The Dark Knight,Pulp Fiction,Casablanca,,,,,,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
The Godfather: Part II,The Lord of the rings,Billa,The Lion King,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Schindler's List,The Intouchables,Comedy nights with Kapil,The Pianist,Prision Break,The Silence of the Lambs,Apocalypse Now,psycho,Witness for the Prosecution,,,,,
Toy Story,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,The Silence of the Lambs,The Usual Suspects,Prision Break,,,,,,,,,,,,,,,,
Harry Potter 2,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,Billa,inception,Gladiator,The Lord of the Rings: The Fellowship of the Ring,Whiplash,,,,,,,,,,,,,,
The Silence of the Lambs,Parasite,12 Angry Men,,,,,,,,,,,,,,,,,
The Dark Knight,The Pianist,whole wheat Star Wars: Episode V - The Empire Strikes Back,City Lights,,,,,,,,,,,,,,,,
Schindler's List,Se7en,The Lord of the Rings: The Return of the King,Back to the Future,psycho,Witness for the Prosecution,Whiplash,,,,,,,,,,,,,
Billa,The Lion King,Modern Times,Pulp Fiction,Casablanca,Grave of the Fireflies ,,,,,,,,,,,,,,
The Lion King,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Intouchables,whole wheat Star Wars: Episode V - The Empire Strikes Back,Casablanca,,,,,,,,,,,,,,
The Dark Knight,12 Angry Men,,,,,,,,,,,,,,,,,,
The Lord of the rings,The Lord of the Rings: The Fellowship of the Ring,The Intouchables,Joker,Pulp Fiction,The Lord of the Rings: The Return of the King,The Pianist,12 Angry Men,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
The Lion King,inception,Your Name,Pulp Fiction,Back to the Future,Whiplash,"The Good, the Bad and the Ugly",American History X,,,,,,,,,,,,
City Lights,,,,,,,,,,,,,,,,,,,
inception,The Lord of the Rings: The Fellowship of the Ring,Once Upon a Time in the West,,,,,,,,,,,,,,,,,
The Godfather: Part II,Billa,inception,The Dark Knight,The Silence of the Lambs,Schindler's List,The Intouchables,,,,,,,,,,,,,
The Intouchables,Parasite,crimes of grindelwald,,,,,,,,,,,,,,,,,
Modern Times,Hara-Kiri,The Pianist,The Prestige,The Lord of the Rings: The Return of the King,Django Unchained,,,,,,,,,,,,,,
The Dark Knight,Comedy nights with Kapil,,,,,,,,,,,,,,,,,,
Léon: The Professional,inception,The Dark Knight,12 Angry Men,,,,,,,,,,,,,,,,
It's a Wonderful Life,,,,,,,,,,,,,,,,,,,
Whiplash,,,,,,,,,,,,,,,,,,,
Star Wars: Episode VI - Return of the Jedi,The Usual Suspects,The Silence of the Lambs,The Lord of the Rings: The Return of the King,American History X,Capernaum,The Pianist,Vertigo ,,,,,,,,,,,,
The Shawshank Redemption,The Lord of the Rings: The Fellowship of the Ring,The Intouchables,Good Will Hunting,Pulp Fiction,The Silence of the Lambs,The Lord of the Rings: The Return of the King,"The Good, the Bad and the Ugly",Whiplash,,,,,,,,,,,
Goodfellas,Parasite,,,,,,,,,,,,,,,,,,
The Dark Knight,Avengers: Infinity War,Pulp Fiction,The Departed,,,,,,,,,,,,,,,,
Schindler's List,The Intouchables,,,,,,,,,,,,,,,,,,
Whiplash,Back to the Future,,,,,,,,,,,,,,,,,,
Billa,The Wolf of Wall Street,The Dark Knight,The Intouchables,Comedy nights with Kapil,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,,
The Dark Knight,Schindler's List,whole wheat Star Wars: Episode V - The Empire Strikes Back,,,,,,,,,,,,,,,,,
Harry Potter 2,,,,,,,,,,,,,,,,,,,
The Prestige,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,Billa,,,,,,,,,,,,,,,,,,
The Intouchables,Pulp Fiction,Léon: The Professional,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,
It's a Wonderful Life,The Lord of the rings,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,The Lord of the Rings: The Return of the King,American History X,Whiplash,,,,,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
Interstellar,The Lord of the rings,The Dark Knight,,,,,,,,,,,,,,,,,
The Intouchables,Modern Times,Pulp Fiction,Vertigo ,,,,,,,,,,,,,,,,
Toy Story,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,The Silence of the Lambs,The Intouchables,Pulp Fiction,Casablanca,The Departed,,,,,,,,,,,,,,
Casablanca,,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,The Lord of the rings,The Dark Knight,The Intouchables,One Flew Over the Cuckoo's Nest,Star Wars: Episode V - The Empire Strikes Back,Capernaum,Star Wars: Episode IV - A New Hope,,,,,,,,,,,,
"The Good, the Bad and the Ugly",Black Panther,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,The Lord of the rings,The Lord of the Rings: The Fellowship of the Ring,The Usual Suspects,Prision Break,The Shining,Whiplash,Django Unchained,12 Angry Men,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
Goodfellas,The Lord of the Rings: The Return of the King,Star Wars: Episode IV - A New Hope,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Intouchables,Alien,The Silence of the Lambs,Parasite,Back to the Future,,,,,,,,,,,,,
It's a Wonderful Life,The Lord of the Rings: The Fellowship of the Ring,Pulp Fiction,,,,,,,,,,,,,,,,,
Interstellar,inception,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Pianist,Witness for the Prosecution,,,,,,,,,,,,,,
City of God,,,,,,,,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
Harry Potter 2,,,,,,,,,,,,,,,,,,,
Seven Samurai,The Lord of the rings,inception,Comedy nights with Kapil,"The Good, the Bad and the Ugly",Braveheart,,,,,,,,,,,,,,
Billa,The Dark Knight,,,,,,,,,,,,,,,,,,
The Silence of the Lambs,Prision Break,City Lights,,,,,,,,,,,,,,,,,
It's a Wonderful Life,The Lord of the Rings: The Two Towers,The Lion King,The Wolf of Wall Street,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Silence of the Lambs,Cinema Paradiso,Captain America,Pulp Fiction,Casablanca,Taare Zameen Par,The Departed,,,,,,,
The Intouchables,,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,Seven Samurai,The Lion King,The Dark Knight,Fight Club,The Intouchables,The Usual Suspects,Joker,Pulp Fiction,Casablanca,The Departed,Apocalypse Now,Whiplash,,,,,,,
The Usual Suspects,Black Panther,whole wheat Star Wars: Episode V - The Empire Strikes Back,,,,,,,,,,,,,,,,,
Toy Story,,,,,,,,,,,,,,,,,,,
The Silence of the Lambs,,,,,,,,,,,,,,,,,,,
The Godfather: Part II,Interstellar,The Lord of the rings,The Dark Knight,Pulp Fiction,The Dark Knight Rises,Whiplash,Harry Potter 2,,,,,,,,,,,,
Casablanca,Inglourious Basterds,Harry Potter 2,,,,,,,,,,,,,,,,,
Whiplash,,,,,,,,,,,,,,,,,,,
Billa,Pulp Fiction,Casablanca,,,,,,,,,,,,,,,,,
Avengers: Infinity War,Pulp Fiction,Harry Potter 2,,,,,,,,,,,,,,,,,
The Dark Knight,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,Prision Break,12 Angry Men,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,The Lion King,The Dark Knight,The Usual Suspects,The Pianist,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,Casablanca,psycho,Braveheart,,,,,,,,,,,,,,,,
The Pianist,Pulp Fiction,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,The Usual Suspects,Once Upon a Time in the West,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,
Kanan Gill Comedy,inception,The Dark Knight,Schindler's List,nonfat The Intouchables,The Pianist,Pulp Fiction,,,,,,,,,,,,,
Casablanca,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,The Intouchables,Pulp Fiction,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,
Once Upon a Time in the West,,,,,,,,,,,,,,,,,,,
Se7en,Pulp Fiction,Prision Break,The Silence of the Lambs,,,,,,,,,,,,,,,,
The Lion King,The Dark Knight,The Pianist,,,,,,,,,,,,,,,,,
Avengers: Endgame,Interstellar,Gladiator,Star Wars: Episode IV - A New Hope,Braveheart,Whiplash,,,,,,,,,,,,,,
inception,The Dark Knight,Pulp Fiction,Star Wars: Episode IV - A New Hope,,,,,,,,,,,,,,,,
inception,The Intouchables,Casablanca,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,Pulp Fiction,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,
The Silence of the Lambs,The Lion King,The Dark Knight,Casablanca,Whiplash,,,,,,,,,,,,,,,
Pulp Fiction,,,,,,,,,,,,,,,,,,,
Fight Club,Spider-Man: Into the Spider-Verse,,,,,,,,,,,,,,,,,,
Fight Club,Star Wars: Episode VI - Return of the Jedi,Pulp Fiction,,,,,,,,,,,,,,,,,
Gladiator,The Lord of the Rings: The Fellowship of the Ring,Alien,,,,,,,,,,,,,,,,,
Seven Samurai,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Schindler's List,Good Will Hunting,The Pianist,Pulp Fiction,The Departed,,,,,,,,,,,
Whiplash,,,,,,,,,,,,,,,,,,,
The Silence of the Lambs,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Intouchables,Once Upon a Time in the West,Whiplash,Harry Potter 2,crimes of grindelwald,,,,,,,,,,,,
The Dark Knight,Schindler's List,Se7en,Whiplash,,,,,,,,,,,,,,,,
The Godfather: Part II,The Lord of the Rings: The Two Towers,Billa,inception,The Pianist,Memento,The Lives of Others,,,,,,,,,,,,,
The Lord of the rings,The Lion King,The Dark Knight,Schindler's List,Comedy nights with Kapil,The Silence of the Lambs,Harry Potter 2,Star Wars: Episode IV - A New Hope,Whiplash,,,,,,,,,,,
Billa,The Dark Knight,Once Upon a Time in America,The Matrix,City of God,,,,,,,,,,,,,,,
The Dark Knight,,,,,,,,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
The Lord of the rings,Pulp Fiction,Casablanca,The Lord of the Rings: The Return of the King,The Green Mile,Whiplash,,,,,,,,,,,,,,
The Silence of the Lambs,Gladiator,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,nonfat The Intouchables,whole wheat Star Wars: Episode V - The Empire Strikes Back,The Lord of the Rings: The Return of the King,Parasite,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
Prision Break,The Silence of the Lambs,Parasite,,,,,,,,,,,,,,,,,
It's a Wonderful Life,Billa,The Dark Knight,Schindler's List,Avengers: Infinity War,The Pianist,The Departed,Back to the Future,The Lord of the Rings: The Return of the King,Harry Potter 2,The Green Mile,,,,,,,,,
Pulp Fiction,The Lord of the Rings: The Return of the King,Capernaum,Princess Mononoke,,,,,,,,,,,,,,,,
The Dark Knight,Once Upon a Time in the West,Pulp Fiction,Casablanca,Reservoir Dogs,12 Angry Men,,,,,,,,,,,,,,
Pulp Fiction,whole wheat Star Wars: Episode V - The Empire Strikes Back,Back to the Future,12 Angry Men,,,,,,,,,,,,,,,,
Good Will Hunting,Pulp Fiction,,,,,,,,,,,,,,,,,,
Pulp Fiction,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,Once Upon a Time in the West,Casablanca,Parasite,,,,,,,,,,,,,,,,
The Lord of the rings,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Game of thrones,,,,,,,,,,,,,,,,
One Flew Over the Cuckoo's Nest,,,,,,,,,,,,,,,,,,,
Braveheart,,,,,,,,,,,,,,,,,,,
"The Good, the Bad and the Ugly",,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,Princess Mononoke,12 Angry Men,City Lights,,,,,,,,,,,,,,,,
Harry Potter 2,American History X,2001: A Space Odyssey,,,,,,,,,,,,,,,,,
